YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2021,ALABAMA,AUTAUGA,01,000,66553.25,0.95628,0.97521,37.67,8084.37,0.9075,0.90627,523.67,20246.03,0.91798,0.99234,108.83,9838.92,1.02369,1.0249,3000.33
2021,ALABAMA,BALDWIN,01,010,77683.02,0.99957,0.98941,103.75,9163.71,0.90298,0.90471,1790.67,20013,0.96465,1.0057,493.08,10168.36,0.99795,1.00562,18925.08
2021,ALABAMA,BARBOUR,01,020,68698.31,0.96196,0.99227,41.75,11753.93,1.00927,0.97889,350.42,16100.36,0.91782,1.06717,199.5,9475.07,0.99233,1.05676,1463.17
2021,ALABAMA,BIBB,01,030,103539.35,1.12077,1.03625,18.58,8854.8,0.87645,0.92022,309.67,15447.09,0.96422,1.02284,147.25,10012.87,1.09116,1.07934,945.83
2021,ALABAMA,BLOUNT,01,040,73800.23,0.97964,1.00425,21.08,9088.17,0.88258,0.90428,520.25,14496.54,0.88512,1.02267,199.42,10450.18,1.08076,1.04799,2894.67
2021,ALABAMA,BULLOCK,01,050,90720.44,0.87605,1.01773,17.58,7632.36,0.85527,1.01576,105.25,15226.18,0.75001,1.06812,92.58,9808.67,0.98136,1.02685,307.75
2021,ALABAMA,BUTLER,01,060,73815.28,1.06391,1.01604,27.75,9104.7,0.89298,1.00966,388.75,15091.06,0.89792,1.04782,238.67,10137.56,1.07997,1.10432,1292.58
2021,ALABAMA,CALHOUN,01,070,73016.08,0.99778,0.98438,114.67,9495.21,0.89253,0.95966,2053.17,15577.83,0.96424,1.02819,632.67,10382.75,1.10762,1.05274,8962.5
2021,ALABAMA,CHAMBERS,01,080,63718.47,0.93608,1.01552,51.92,8711.85,0.89545,0.96227,679.33,13899.08,0.90182,1.05201,336.58,9837.48,1.09384,1.1288,2102.83
2021,ALABAMA,CHEROKEE,01,090,82762.64,1.11917,0.97848,34.92,8644.36,0.86394,0.97229,602.08,14268.82,0.91951,1.01318,267.5,10014.7,1.06515,1.0511,2190.08
2021,ALABAMA,CHILTON,01,100,67440.22,0.97264,0.97068,23.5,10418.05,0.99092,0.91581,387.83,14342.16,0.97976,0.9733,136.17,11921,1.01222,1.03097,1822.83
2021,ALABAMA,CHOCTAW,01,110,66872.06,0.96527,1.00188,24.5,9821.67,0.84135,0.99644,396.67,16362.06,0.92365,1.02944,247.17,10957.7,1.02043,1.15049,1223.92
2021,ALABAMA,CLARKE,01,120,64220.78,0.96368,0.9511,26.83,8516.1,0.878,0.93576,381.25,13749.62,0.86907,1.01834,157.25,10453.77,1.0475,1.0943,1392.67
2021,ALABAMA,CLAY,01,130,50276.72,0.82403,1.02986,10.67,9475.67,0.79376,0.91578,222.75,15008.67,0.82845,1.05812,155.33,8605.68,0.94962,1.09185,1018.75
2021,ALABAMA,CLEBURNE,01,140,109075.86,0.96361,1.01058,11.42,8619.06,0.8543,0.96371,286.08,15424.71,0.92257,1.0506,153.25,9828.7,1.04438,1.07551,1263.75
2021,ALABAMA,COFFEE,01,150,71634.68,0.97638,1.0089,39.92,9005.33,0.92098,0.94401,691.58,13128.97,0.97588,1.05994,337.83,9536.66,1.07233,1.03395,4148.08
2021,ALABAMA,COLBERT,01,160,85537.82,0.99082,1.01418,44.17,9875.46,0.98739,0.97685,953.75,14930.78,0.93519,1.02403,396.33,10145.78,1.03193,1.07192,4949.92
2021,ALABAMA,CONECUH,01,170,84435.33,0.93292,1.03793,17.08,7152.46,0.74505,0.97754,391.25,13703.86,0.81573,1.042,215.58,10741.81,1.00165,1.13173,927.25
2021,ALABAMA,COOSA,01,180,102338.53,1.00563,0.98113,11,7078.99,0.768,0.93844,175.08,14146.45,0.92529,1.04401,55.92,11178.95,1.09752,1.093,713.75
2021,ALABAMA,COVINGTON,01,190,89378.19,1.06326,1.05067,34.25,11449.11,0.9548,0.99143,724,15763.9,0.95054,1.03236,506.83,9923.26,1.07908,1.09565,3349.5
2021,ALABAMA,CRENSHAW,01,200,74501.66,0.78136,0.98615,13.42,10045.18,0.76232,0.98194,192.83,18398.96,0.97565,1.04893,139.42,9260.57,1.04695,1.09081,787.58
2021,ALABAMA,CULLMAN,01,210,74737.24,0.968,0.97737,54.58,11032.5,1.0012,0.95336,1039.17,16043.57,0.96145,1.02227,543.58,10321.01,1.11343,1.05812,6431.92
2021,ALABAMA,DALE,01,220,66273.64,0.91138,0.97613,25.58,9629.86,0.93186,0.957,750.5,15910.33,0.91693,1.03612,312.75,10144.56,1.08756,1.05451,3572
2021,ALABAMA,DALLAS,01,230,71171.37,0.94583,1.04308,68.67,9992.49,0.95382,1.02952,635.92,16335.27,0.97063,1.02456,473.25,8906.59,0.99968,1.08066,1611
2021,ALABAMA,DEKALB,01,240,62726.72,0.91599,0.9899,41.75,9571.65,0.88426,0.98492,1256.33,12623.34,0.86595,1.03187,633.33,10049.52,1.01068,1.06738,5023.67
2021,ALABAMA,ELMORE,01,250,77658.57,0.9516,0.97067,53.75,8648.33,0.8346,0.90617,805.08,18157.65,0.98286,1.04463,195.17,9544.19,1.01874,1.00381,5153.75
2021,ALABAMA,ESCAMBIA,01,260,72404.17,0.89698,1.04671,34.83,10258.49,0.87405,0.956,544.25,16757,0.9403,1.05088,259,10823.96,1.08156,1.09112,2373.83
2021,ALABAMA,ETOWAH,01,270,81472.14,1.00581,1.02247,83.92,9796.58,0.90971,0.98042,1901.33,16747.98,0.99273,1.01734,766.83,11494.72,1.10188,1.08114,6094.75
2021,ALABAMA,FAYETTE,01,280,75689.91,0.9614,0.97292,10.08,7920.6,0.88457,0.98492,407,17196.6,1.03228,1.04403,225.25,9163.02,1.11109,1.10859,1254.83
2021,ALABAMA,FRANKLIN,01,290,75833.27,1.06698,1.05745,20.83,10321.14,0.90376,1.00822,586.33,14249.78,0.85552,1.03398,354.83,10405.08,1.02952,1.09926,2293.58
