YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2023,ALABAMA,AUTAUGA,01,000,84037.31,0.97457,0.97426,23.33,10256.65,0.87303,0.90768,383.83,18092.57,0.9627,1.02747,79.42,11602.33,1.07466,1.06244,2721.42
2023,ALABAMA,BALDWIN,01,010,76844.25,0.98812,0.97261,95.5,10817.07,0.93863,0.9125,1221.83,19673.37,0.97699,1.038,380.25,12169.45,1.02818,1.02685,17622.92
2023,ALABAMA,BARBOUR,01,020,87441.58,0.84854,1.00096,22.17,13637.05,0.94155,0.95819,192.42,19437.87,0.97888,1.06929,128.5,12762.42,1.0293,1.06943,1218.25
2023,ALABAMA,BIBB,01,030,81671.93,1.03217,0.97868,13.25,10403.67,0.8376,0.94337,181.08,16744.92,1.0842,1.0644,119.42,11832.52,1.12542,1.11217,796.5
2023,ALABAMA,BLOUNT,01,040,79359.75,0.93464,1.01005,18,9686.29,0.87373,0.9128,353,19264.01,1.01488,1.0528,144.42,12598.39,1.11224,1.0705,2478
2023,ALABAMA,BULLOCK,01,050,82272.16,0.96137,1.02315,9.42,9468.78,0.94332,1.03478,49.83,24131.04,0.96893,1.11921,66.42,9451.44,1.09312,1.05468,227.58
2023,ALABAMA,BUTLER,01,060,58078.75,0.78472,0.98502,13.08,8109.86,0.81165,0.97162,165.33,16916.28,0.88555,1.09059,113.42,12404.66,1.11313,1.12172,977.33
2023,ALABAMA,CALHOUN,01,070,104012.66,1.01036,1.01281,68.5,10667.44,0.9172,0.9595,1216.5,20180.74,1.05806,1.05064,424.58,12386.54,1.16603,1.07309,7680.33
2023,ALABAMA,CHAMBERS,01,080,74734.12,0.82988,1.02088,30.5,9737.72,0.94854,0.96435,407.08,15387.81,0.90883,1.0752,237.33,10746.4,1.12017,1.14164,1659.83
2023,ALABAMA,CHEROKEE,01,090,82545.45,0.98343,0.99432,20.92,9999.95,0.878,0.97381,334.17,19504.98,0.90414,1.03962,195,12106.49,1.09175,1.0678,1949.58
2023,ALABAMA,CHILTON,01,100,89484.61,0.88225,0.95879,14.5,12822.2,0.95075,0.8974,246.42,16951.51,0.9349,0.97768,99.08,12784.45,1.11693,1.06076,1609.92
2023,ALABAMA,CHOCTAW,01,110,73996.36,0.92917,1.0461,13.75,12162.31,0.87731,0.98159,218.33,21349.52,0.9115,1.04308,144.5,12829.99,1.05729,1.15506,1012.67
2023,ALABAMA,CLARKE,01,120,51379.7,1.03034,1.02745,12.92,9291.26,0.80938,0.93264,234.33,14150.68,0.85046,1.06464,111.5,12421.79,1.07339,1.11909,1166.75
2023,ALABAMA,CLAY,01,130,*,*,*,*,8842.78,0.79482,0.91185,133.17,12509.75,0.89204,1.08311,99.5,10903.72,1.0105,1.11572,815.08
2023,ALABAMA,CLEBURNE,01,140,*,*,*,*,10020.3,0.9608,0.97388,161,21234.34,0.95988,1.05974,112.17,11762.48,1.09137,1.07421,1054.17
2023,ALABAMA,COFFEE,01,150,83299.47,0.97711,1.00163,25.42,9431.76,0.94963,0.93508,473.33,15496.92,0.99009,1.08769,216.25,10712.26,1.06901,1.05136,3656.58
